01/05/2021	016	11223344A
01/05/2021	016	54827450H
01/05/2021	016	39957674G
01/05/2021	016	12305422T
01/05/2021	016	34596842B
01/05/2021	016	94838211K
01/05/2021	002	44333555H
02/05/2021	015	65832932Y
02/05/2021	015	64939292P
02/05/2021	004	07952822X
02/05/2021	005	44333555H
02/05/2021	005	94838211K
02/05/2021	004	11223344A
03/05/2021	001	11223344A
03/05/2021	001	64939292P
04/05/2021	006	38584737N
04/05/2021	006	68483725T
04/05/2021	007	12305422T
04/05/2021	007	09248113J
05/05/2021	008	68583263N
05/05/2021	008	07952822X
05/05/2021	008	94838211K
05/05/2021	008	69438227L
06/05/2021	009	69438227L
06/05/2021	009	68583263N
06/05/2021	009	09248113J
06/05/2021	009	38584737N
08/05/2021	003	23757382V
08/05/2021	003	95948383D
08/05/2021	003	20245381O
08/05/2021	011	44333555H
09/05/2021	011	94838211K
10/05/2021	013	20245381O
10/05/2021	014	11223344A
10/05/2021	014	65832932Y
10/05/2021	013	80592713F
10/05/2021	014	64939292P
10/05/2021	014	54827450H
11/05/2021	012	34596842B
12/05/2021	012	64939292P
12/05/2021	012	11223344A
12/05/2021	012	80592713F
12/05/2021	003	12305422T
12/05/2021	003	65832932Y
12/05/2021	002	11223344A
